Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
1,4,267,0,1509,33,345,0,33,1,1,3,1,1,0,0
1,4,264,0,23401,4564,4458,10,19,1,1,0,2,0,66,0
1,4,0,0,1,0,1,0,10,0,0,0,0,0,0,0
1,4,293,0,30248,191,3348,0,24,1,1,0,1,0,76,0
1,4,2788,0,954,64,76,0,21,1,1,0,1,0,47,0
1,4,2457,0,597036,1835,4967,4,25,0.333,1,0,1,0,9040,0
1,4,1169,0,73020,434,364,1,5,0,1,0,0,0,0,1
1,4,421,0,3715,66,1997,0,26,0,1,0,1,0,2,0
1,4,3755,0,26399,19813,12198,70,9,-1,1,0,1,0,0,9
1,4,0,0,1,0,0,0,14,-1,0,0,0,0,0,0
1,4,3146,0,50310,43,97,1,13,0,1,0,0,0,0,0
1,4,53,0,11,0,14,0,22,0,1,0,1,0,365,0
1,4,937,0,6222,468,446,0,22,1,1,0,1,0,37,0
1,4,47,0,461,101,106,0,8,0,0,0,0,0,0,0
1,4,3976,0,345890,896,1476,57,25,0.333,1,0,1,0,9040,0
1,4,4143,0,30692,170,809,11,20,1,1,0,2,0,7,0
1,4,3399,0,11185,1638,1610,11,19,1,1,0,2,0,0,0
1,4,4121,0,60413,11076,5734,66,27,0,1,0,1,0,4,0
1,4,742,0,7020,175,1000,0,21,-1,1,0,1,1,11,0
1,4,2402,0,9833,141,74,0,25,-1,1,0,1,0,2,0
1,4,249,0,817,57,147,0,9,0,0,0,0,0,0,0
1,4,1060,0,6697,222,255,6,26,0,1,0,1,0,43,0
1,4,822,0,48615,858,821,28,26,0,1,0,1,0,43,0
1,4,527,0,759,233,157,1,26,0,1,0,1,0,43,0
1,4,1581,0,25007,10923,1781,4,25,0.333,1,0,1,0,9040,0
1,4,4951,0,48922,4548,1424,93,19,-1,1,0,1,0,0,0
